,number,value,datetime_start,datetime_complete,duration,params_learning_rate,params_merged_1_dropout,params_merged_1_size,params_merged_2_dropout,params_merged_2_size,params_merged_3_dropout,params_merged_3_size,state
30,30,0.5188679245283019,2024-03-04 22:02:31.975239,2024-03-04 22:02:49.887189,0 days 00:00:17.911950,0.0858968244268655,0.4577370235279532,238,0.32761342277000105,53,0.4141503176426346,51,COMPLETE
31,31,0.8018867924528302,2024-03-04 22:02:49.888363,2024-03-04 22:03:05.189321,0 days 00:00:15.300958,0.001537035312916696,0.41296552300665257,233,0.38682653568253905,98,0.3465233906291766,57,COMPLETE
32,32,0.7735849056603774,2024-03-04 22:03:05.190482,2024-03-04 22:03:27.225876,0 days 00:00:22.035394,0.0006347302211059316,0.37215185590123195,204,0.38000641921951717,90,0.3710501569097326,60,COMPLETE
33,33,0.8113207547169812,2024-03-04 22:03:27.227028,2024-03-04 22:03:40.249736,0 days 00:00:13.022708,0.0027443140858837193,0.3366599846573125,144,0.4746725252689925,78,0.3279393199458295,56,COMPLETE
34,34,0.7924528301886793,2024-03-04 22:03:40.251110,2024-03-04 22:03:51.155052,0 days 00:00:10.903942,0.0036213954609535456,0.462314893972069,182,0.4321137056843339,106,0.2880447260878956,55,COMPLETE
35,35,0.7830188679245284,2024-03-04 22:03:51.156237,2024-03-04 22:04:22.962486,0 days 00:00:31.806249,0.00025871883204833573,0.3770976709234478,195,0.37357604195448596,97,0.2522481461585247,44,COMPLETE
36,36,0.839622641509434,2024-03-04 22:04:22.963677,2024-03-04 22:04:44.700020,0 days 00:00:21.736343,0.0008782482969140197,0.4199221558885931,255,0.2736221281961092,104,0.4719677133874715,46,COMPLETE
37,37,0.7452830188679245,2024-03-04 22:04:44.700766,2024-03-04 22:05:23.280470,0 days 00:00:38.579704,5.8496488405350766e-05,0.42077044795433344,256,0.27349216811684757,114,0.4735305012325079,39,COMPLETE
38,38,0.8207547169811321,2024-03-04 22:05:23.281696,2024-03-04 22:05:44.193530,0 days 00:00:20.911834,0.0006440451100966851,0.49914795936235434,246,0.2198825170366162,104,0.46258396688437947,46,COMPLETE
39,39,0.8018867924528302,2024-03-04 22:05:44.194752,2024-03-04 22:05:58.145841,0 days 00:00:13.951089,0.0009767725455000307,0.3904421973204217,227,0.2619327608580575,89,0.42811129208928367,28,COMPLETE
40,40,0.7641509433962265,2024-03-04 22:05:58.146938,2024-03-04 22:06:35.807597,0 days 00:00:37.660659,4.5590389544068276e-05,0.4739234968901523,234,0.3355287468846718,121,0.46527837732326305,42,COMPLETE
41,41,0.8018867924528302,2024-03-04 22:06:35.809800,2024-03-04 22:06:50.975752,0 days 00:00:15.165952,0.0016452129445953042,0.27550047884515433,134,0.2970318612670555,101,0.387044439301885,51,COMPLETE
42,42,0.8584905660377359,2024-03-04 22:06:50.976907,2024-03-04 22:07:10.721786,0 days 00:00:19.744879,0.001008963924592972,0.43377057724973433,103,0.40204260650627555,95,0.31302676846309324,59,COMPLETE
43,43,0.8018867924528302,2024-03-04 22:07:10.722843,2024-03-04 22:07:47.049204,0 days 00:00:36.326361,0.0001570676062528949,0.4334294365275769,105,0.39735163824521147,112,0.31308006399867416,61,COMPLETE
